id,authorName
461,Manish K Suman
465,Anna P. Kotsia
469,Resul Das
470,Ibrahim Turkoglu
471,Abdulkadir Sengur
472,Animesh Kumar Paul
473,Pintu Chandra Shill
474,Rafiqul Islam Rabin
475,Kazuyuki Murase
476,Saman Iftikhar
477,Kiran Fatima
478,Amjad Rehman
479,Abdulaziz S Almazyad
480,Tanzila Saba
482,P.A. Venkatachalam
483,Ahmad Fadzil M.Hani
484,Necdet Sut
485,Mustafa Senocak
486,Maryam Tayefi
487,Mohammad Tajfard
488,Sara Saffar
489,Parichehr Hanachi
490,Ali Reza Amirabadizadeh
491,Habibollah Esmaeily
492,Ali Taghipour
493,Gordon A. Ferns
494,Mohsen Moohebati
495,Majid Ghayour-Mobarhan
504,Nithya S.
505,Suresh Gnana Dhas
506,Gokhan Altan
507,Novruz Allahverdi
508,Yakup Kutlu
510,Sharareh R. Niakan Kalhori
511,Tole Sutikno
512,Imam Much Ibnu Subroto
513,Goli Arji
514,Maryam Negahbani
515,Sanaz Joulazadeh
516,Hamid Reza Marateb
517,Marjan Mansourian
518,Moghaddasi H
519,Mahmoudi I
520,Sajadi S
528,Fariba Alizadeh-Sani
529,A. Idri
530,A.A. Lammertsma
531,A.C. van Rossum
532,Afnan Althopity
533,andar Saeed Alghamdi
534,Andrew D. Johnson
535,Ashwag Alghamdi
536,Azween Abdullah
537,Beant Kaur
538,Bin Zhang
539,Boushra Alshehri
540,Brahim Belhaouari Samir
541,Chai Hong Yeong
542,Chenglong Zheng
543,E.F. Comans
544,Ehab F. Amer
545,Elma Kol�e
546,Er. Rupinder Kaur Gurm
547,Fang Guo
548,Filippo Molinari
549,Georgae Diamon
550,Hao Xu
551,Hilal Almarabeh
552,Hong Yuan
553,Huihui Zhao
554,I. Kadi
555,J.G.J. Groothuis
556,J.L. Fernandez-Aleman
557,Jamess  Forrest
558,Jianxin Chen
559,Jun Zhu
560,Kwan Hoong Ng
561,M. Lubberink
562,M.J.W. G?tte
563,M.R. Meijerink
564,Maruf Pasha
565,Megha Shahi
566,Meherwar Fatima
567,Meilin Liu
568,Nalini Raghavachari
569,Nana Xu
570,Neki Frasheri
571,Noreen Kausar
572,O.S. Hoekstra
573,Oliver Faust
574,P. Knaapen
575,Paul Courchesne
576,Peter J. Munson
577,Poching Liu
578,Qi Shi
579,Qiaoyu Wu
580,Qurat-ul-ain Mastoi
581,R. Halbmeijer
582,Ram Gopal Raj
583,Richard Wang
584,Robert Roberts
585,Roby Joehanes
586,Ruth McPherson
587,S. de Haan
588,Saixia Ying
589,Salha M. Alzahani
590,Shih-Jen Hwang
591,Suheer Aljuaid
592,Teh Ying Wah
593,Themistocles L. Assimes
594,Themistocles L. Assimes
595,Tianxiao Huan
596,Ting He
597,Uzair Iqbal
598,WeiWang
599,Williamjeet Singh
600,Xing Liu
601,Xueling Ma
602,Y.E. Appelman
603,Yan Feng
604,Yi Yang
605,Ying Li
606,YixinWang
607,Zhi Wang
608,George A.Diamond
609,James S . Forrester
610,Samer Arafat
611,Mary Dohrmann
612,Marjorie Skubic
618,G. Swapna
619,Roshan Joy Martis
620,Nahrizul Adib Kadri
621,Jasjit S. Suri
622,S Sood
624,Donna Giri
625,Teik-Cheng Lim
626,Muthu Rama Krishanan Mookiah
627,Jie Hui Koo
628,Arihant Jain
629,Choo Min Lim
630,M. Muthu Rama Krishnan
631,Shetty Ranjan
632,Pai Umesh
633,luca saba
634,Chaitra Sridhar
635,G. Muralidhar Bairy
636,Manish Sharma
637,Nobutaka Ikeda
638, Kaoru Sugi
639,Masato Nakamura
640,Giuseppe Mercuro
641,Andrew Nicolaides
